name,title,patriarchate,metropolitan,episcopate,monasticism,birthdate,profile_url,image_url
Pope Tawadros II,Pope of Alexandria and Patriarch of the see of St. Mark,18/11/2012,,15/06/1997,31/07/1988,04/11/1952,https://copticorthodox.church/en/bishops/pope-tawadros-ii/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201551%201940'%3E%3C/svg%3E"
Metropolitan Antonius,"Metropolitan of Jerusalem & The Near East, Abbot of St. Anthony & St. George Monasteries, Jerusalem",,28/02/2016,28/02/2016,27/12/2006,25/07/1969,https://copticorthodox.church/en/bishops/metropolitan-antonius/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201551%201940'%3E%3C/svg%3E"
Metropolitan Wissa,Metropolitan of Baliana,,19/03/2006,22/06/1975,10/03/1972,16/07/1939,https://copticorthodox.church/en/bishops/metropolitan-wissa/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Metropolitan Pephnotious,Metropolitan of Samalout,,28/02/2016,13/06/1976,12/03/1972,12/11/1948,https://copticorthodox.church/en/bishops/metropolitan-pephnotious/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Metropolitan Benyamin,Metropolitan of Monufia,,28/02/2016,13/06/1976,24/06/1973,24/06/1947,https://copticorthodox.church/en/bishops/metropolitan-benyamin/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201627%202034'%3E%3C/svg%3E"
Metropolitan Tadros,Metropolitan of Portsaid,,28/02/2016,14/11/1976,05/05/1974,01/02/1943,https://copticorthodox.church/en/bishops/metropolitan-tadros/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Metropolitan Serapion,"Metropolitan of Los Angeles, Southern California & Hawaii",,28/02/2016,02/06/1985,06/08/1979,10/11/1951,https://copticorthodox.church/en/bishops/metropolitan-serapion/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Metropolitan Poula,"Metropolitan of Tanta, and the Papal Vicar of Diocese of Beheira, Matrouh, & the Five Western Cities, and St. Macarius of Alexandria Monastery in Mount Al-Qalali",,25/11/2018,25/05/1980,24/04/1976,23/08/1951,https://copticorthodox.church/en/bishops/metropolitan-poula/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Metropolitan Bessada,Metropolitan of Akhmim & Saqolta,,25/11/2018,25/05/1980,07/07/1974,20/10/1945,https://copticorthodox.church/en/bishops/metropolitan-bessada/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Metropolitan Endrawes,"Metropolitan of Abu Tej, Sadfa & Alghanaim",,25/11/2018,25/05/1980,24/03/1977,23/05/1946,https://copticorthodox.church/en/bishops/metropolitan-endrawes/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%202048%202560'%3E%3C/svg%3E"
Metropolitan Eshiaa,Metropolitan of Tahta & Gehina,,25/11/2018,25/05/1980,19/03/1973,16/05/1940,https://copticorthodox.church/en/bishops/metropolitan-eshiaa/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Metropolitan Marcos,Metropolitan of Shubra El-Khaymah,,25/11/2018,02/06/1985,06/10/1976,02/01/1944,https://copticorthodox.church/en/bishops/metropolitan-marcos/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Metropolitan Abraam,"Metropolitan of Fayoum & Abbot of Archangel Gabriel, St. Macarius Monasteries, Fayoum",,25/11/2018,02/06/1985,23/03/1977,11/02/1950,https://copticorthodox.church/en/bishops/metropolitan-abraam/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Metropolitan Antonius Morcos,Metropolitan of South Africa,,09/06/2019,13/06/1985,12/07/1975,04/09/1936,https://copticorthodox.church/en/bishops/metropolitan-antonius-morcos/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201368%201710'%3E%3C/svg%3E"
Metropolitan Barsoum,Metropolitan of Dairout & Sunbo and Abbot of St. Mary & Archangel Michael Monastery,,20/11/2022,22/06/1985,09/04/1977,25/11/1946,https://copticorthodox.church/en/bishops/metropolitan-barsoum/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201600%202000'%3E%3C/svg%3E"
Metropolitan Bakhoum,"Metropolitan of Sohag, Manshaa & Maragha",,20/11/2022,22/06/1985,22/08/1978,24/02/1953,https://copticorthodox.church/en/bishops/metropolitan-bakhoum/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201600%202000'%3E%3C/svg%3E"
Metropolitan Demetrius,"Metropolitan of Mallawi, Ansina & Ashmonin and Abbot of Abo Phana & Elbatoul Monasteries and the Papal Vicar of Der Mouas & Dalija Diocese",,20/11/2022,22/06/1986,24/06/1978,23/02/1948,https://copticorthodox.church/en/bishops/metropolitan-demetrius/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201600%202000'%3E%3C/svg%3E"
Metropolitan Tomas,Metropolitan of Qusiyyah & Mir,,20/11/2022,13/11/1988,31/03/1985,08/11/1957,https://copticorthodox.church/en/bishops/metropolitan-tomas/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Metropolitan Danial,"Metropolitan of Maadi, Basatin & Dar El-Salam",,20/11/2022,26/05/1991,31/10/1982,06/07/1948,https://copticorthodox.church/en/bishops/metropolitan-danial/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201600%202000'%3E%3C/svg%3E"
Metropolitan Sharoubeem,Metropolitan of Qena & Qift,,20/11/2022,26/05/1991,24/04/1976,17/08/1946,https://copticorthodox.church/en/bishops/metropolitan-sharoubeem/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%202048%202560'%3E%3C/svg%3E"
Metropolitan Biemen,"Metropolitan of Naqada & Qous and Abbot of Archangel Michael's Monastery, Assas Mount",,20/11/2022,26/05/1991,15/10/1986,19/12/1959,https://copticorthodox.church/en/bishops/metropolitan-biemen/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201600%202000'%3E%3C/svg%3E"
Metropolitan Takla,Metropolitan of Dishna,,20/11/2022,26/05/1991,15/12/1985,01/07/1960,https://copticorthodox.church/en/bishops/metropolitan-takla/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%202048%202560'%3E%3C/svg%3E"
Metropolitan Maximous,Metropolitan of Banha & Quesna,,20/11/2022,14/06/1992,17/07/1986,08/03/1954,https://copticorthodox.church/en/bishops/metropolitan-maximous/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Metropolitan Youssef,Metropolitan of Southern USA,,20/11/2022,14/06/1992,12/04/1987,01/02/1959,https://copticorthodox.church/en/bishops/metropolitan-youssef/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201795%202244'%3E%3C/svg%3E"
Bishop Mataeos,Bishop & Abbot of St. Mary Syrian Monastery,,,25/05/1980,07/02/1965,18/07/1939,https://copticorthodox.church/en/bishops/bishop-mataeos/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%202048%202560'%3E%3C/svg%3E"
Bishop Mossa,General Bishop of Youth,,,25/05/1980,18/04/1978,30/11/1938,https://copticorthodox.church/en/bishops/bishop-mossa/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Bishop Discoros,General Bishop,,,25/05/1980,15/05/1977,11/04/1946,https://copticorthodox.church/en/bishops/bishop-discoros/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201240%201549'%3E%3C/svg%3E"
Bishop Missael,"Bishop of Birmingham, UK",,,25/05/1980,11/11/1962,21/05/1940,https://copticorthodox.church/en/bishops/bishop-missael/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201795%202244'%3E%3C/svg%3E"
Bishop Botros,General Bishop,,,02/06/1985,17/10/1982,25/02/1949,https://copticorthodox.church/en/bishops/bishop-botros/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201599%202000'%3E%3C/svg%3E"
Bishop Makarios The Eritrean,General Bishop,,,26/05/1991,,05/05/1931,https://copticorthodox.church/en/bishops/bishop-makarios-eritrean/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Bishop Basilios,Bishop & Abbot of St. Samuel Monastery,,,26/05/1991,27/08/1976,26/07/1947,https://copticorthodox.church/en/bishops/bishop-basilios/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201600%202000'%3E%3C/svg%3E"
Bishop Yostos,"Bishop & Abbot of St. Anthony Monastery, Red Sea",,,17/11/1991,12/03/1982,14/07/1958,https://copticorthodox.church/en/bishops/bishop-yostos/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Bishop Esizarous,Bishop & Abbot of St. Mary Baramous Monastery,,,14/06/1992,00/01/1977,15/09/1939,https://copticorthodox.church/en/bishops/bishop-esizarous/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201600%202000'%3E%3C/svg%3E"
Bishop Youannes,"Bishop of Assiut, Sahil Selim & Elbadary",,,06/06/1993,18/12/1987,23/11/1960,https://copticorthodox.church/en/bishops/bishop-youannes/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201605%202007'%3E%3C/svg%3E"
Bishop Sarabamon,"Bishop of Atbara, Omdurman & North Sudan",,,14/11/1993,15/12/1985,30/03/1954,https://copticorthodox.church/en/bishops/bishop-sarabamon/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Bishop Antony,"Bishop of Ireland, Scotland & NE England, UK",,,11/06/1995,29/03/1981,15/01/1954,https://copticorthodox.church/en/bishops/bishop-antony/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201449%201812'%3E%3C/svg%3E"
Bishop Barnaba,"Bishop of Turin & Rome, Italy",,,11/06/1995,14/01/1984,12/01/1959,https://copticorthodox.church/en/bishops/bishop-barnaba/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201600%202000'%3E%3C/svg%3E"
Bishop Demian,"Bishop of North Germany & Abbot of St. Mary & St. Morris Monastery, Hoexster, Germany",,,11/06/1995,06/11/1992,15/03/1955,https://copticorthodox.church/en/bishops/bishop-demian/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201600%202000'%3E%3C/svg%3E"
Bishop Boules,"General Bishop of Evangelism in Africa - Nairobi, Kenya",,,11/06/1995,22/01/1995,18/06/1949,https://copticorthodox.church/en/bishops/bishop-boules/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201600%202000'%3E%3C/svg%3E"
Bishop Raphael,General Bishop of Cairo Downtown,,,15/06/1997,28/02/1990,06/05/1958,https://copticorthodox.church/en/bishops/bishop-raphael/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Bishop Suriel,"The Bishop is in the Theological College, New Jersey, USA",,,15/06/1997,06/07/1991,09/05/1963,https://copticorthodox.church/en/bishops/bishop-suriel/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201709%202136'%3E%3C/svg%3E"
Bishop Ghobrial,Bishop of Bani Suef,,,15/06/1997,17/01/1992,31/12/1963,https://copticorthodox.church/en/bishops/bishop-ghobrial/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201600%202000'%3E%3C/svg%3E"
Bishop Maximous,"General Bishop of Salam City, Cairo",,,30/05/1999,30/01/1976,09/09/1947,https://copticorthodox.church/en/bishops/bishop-maximous-2/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Bishop Georgeos,Bishop of Mataai,,,30/05/1999,23/03/1978,24/09/1953,https://copticorthodox.church/en/bishops/bishop-georgeos/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201600%202000'%3E%3C/svg%3E"
Bishop Stephanos,"Bishop of Beba, Fashn & Samasta",,,30/05/1999,10/10/1992,01/01/1968,https://copticorthodox.church/en/bishops/bishop-stephanos/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Bishop Temotheos,Bishop of Zagazig & Minya El Qamh,,,30/05/1999,15/05/1994,25/12/1960,https://copticorthodox.church/en/bishops/bishop-temotheos/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201639%202048'%3E%3C/svg%3E"
Bishop Angaelos,"Bishop of London, UK",,,14/11/1999,31/10/1990,19/08/1967,https://copticorthodox.church/en/bishops/bishop-angaelos/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Bishop David,"Bishop of New York & New England, USA",,,16/11/1999,22/01/1995,07/08/1967,https://copticorthodox.church/en/bishops/bishop-david/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201795%202244'%3E%3C/svg%3E"
Bishop Gabriel,"Bishop of Austria & The German Districts of Switzerland and Abbot of St. Anthony Monastery, Austria",,,18/06/2000,06/11/1992,23/04/1959,https://copticorthodox.church/en/bishops/bishop-gabriel/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201795%202244'%3E%3C/svg%3E"
Bishop Elia,Bishop of Khartoum & South Sudan,,,03/06/2001,00/03/1982,24/12/1951,https://copticorthodox.church/en/bishops/bishop-elia/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201600%202000'%3E%3C/svg%3E"
Bishop Saraphem,Bishop of Ismailia,,,03/06/2001,27/01/1981,30/01/1955,https://copticorthodox.church/en/bishops/bishop-saraphem/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Bishop Abollo,Bishop of South Sinai,,,03/06/2001,26/01/1986,09/12/1961,https://copticorthodox.church/en/bishops/bishop-abollo/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201600%202000'%3E%3C/svg%3E"
Bishop Martyros,"General Bishop of East Railways, Cairo",,,03/06/2001,27/10/1990,14/01/1964,https://copticorthodox.church/en/bishops/bishop-martyros/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Bishop Aghathon,Bishop of Maghagha & Eladwa,,,09/09/2001,22/04/1989,05/02/1959,https://copticorthodox.church/en/bishops/bishop-aghathon/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201637%202048'%3E%3C/svg%3E"
Bishop Cosman,Bishop of North Sinai,,,09/09/2001,28/11/1982,19/12/1948,https://copticorthodox.church/en/bishops/bishop-cosman/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%202048%202560'%3E%3C/svg%3E"
Bishop Daniel,"Bishop of Sydney, Australia",,,23/06/2002,05/08/1984,07/03/1959,https://copticorthodox.church/en/bishops/bishop-daniel/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Bishop Kyrelos Ava Mina,"Bishop & Abbot of St. Mina's Monastery, Mariout, Alexandria",,,15/06/2003,29/03/1975,13/08/1953,https://copticorthodox.church/en/bishops/bishop-kyrelos-ava-mina/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Bishop Macarius,Bishop of Minya,,,30/05/2004,05/12/1978,10/06/1958,https://copticorthodox.church/en/bishops/bishop-macarius/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201600%202000'%3E%3C/svg%3E"
Bishop Ermia,General Bishop,,,30/05/2004,02/04/1988,15/11/1959,https://copticorthodox.church/en/bishops/bishop-ermia/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201795%202244'%3E%3C/svg%3E"
Bishop Abakir,Bishop of Scandinavia,,,30/05/2004,22/01/1995,04/05/1962,https://copticorthodox.church/en/bishops/bishop-abakir/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201600%202000'%3E%3C/svg%3E"
Bishop Mina,"Bishop & Abbot of St. George Monastery, Khatatbah",,,11/06/2006,23/03/1977,26/06/1951,https://copticorthodox.church/en/bishops/bishop-mina/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
Bishop Aghathon,Bishop of Brazil,,,18/07/2006,10/04/1992,12/11/1955,https://copticorthodox.church/en/bishops/bishop-aghathon-2/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201600%202000'%3E%3C/svg%3E"
Bishop Youssef,Bishop of Bolivia,,,11/06/2006,22/08/1995,30/07/1967,https://copticorthodox.church/en/bishops/bishop-youssef-2/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201638%202048'%3E%3C/svg%3E"
